"";"enne$pred";"enne$pred + 1.96 * enne$se";"enne$pred - 1.96 * enne$se"
"1";63797,5377347352;67946,9557921624;59648,1196773079
"2";64972,410325617;69381,7557285686;60563,0649226654
"3";60588,3372565232;65242,3357219638;55934,3387910827
"4";60227,9190109505;65113,5938417043;55342,2441801966
"5";52716,4918186646;57822,6352896525;47610,3483476767
"6";55743,5310306678;61060,3320593952;50426,7300019404
"7";65157,0979789068;70675,8712349889;59638,3247228246
"8";75733,8337578888;81446,817207004;70020,8503087737
"9";68504,8461652717;74405,0462923997;62604,6460381437
"10";63505,7613585556;69586,8325284917;57424,6901886194
"11";62322,5249644414;68578,6738026048;56066,376126278
"12";59691,3811590671;66117,289646789;53265,4726713452
"13";62677,4705698772;69268,2333890006;56086,7077507538
"14";63138,1325677694;69889,2054667784;56387,0596687603
"15";66349,6967723369;73256,8535776261;59442,5399670476
"16";71583,661594908;78642,958088818;64524,365100998
"17";82384,5323503209;89592,2756654364;75176,7890352053
"18";78990,5861425545;86343,3086330138;71637,8636520951
"19";77801,0530718094;85295,489852223;70306,6162913958
"20";74878,8670488585;82511,936563503;67245,797534214
"21";74978,2188591346;82747,0059745139;67209,4317437552
"22";76056,065134059;83957,8063479267;68154,3239201913
"23";73388,1431302756;81420,2135676943;65356,072692857
"24";67768,1909402553;75928,0928678914;59608,2890126192
